source_code	source_code_description	length
J9307	"Injection, pralatrexate, 1 mg"	29
J9310	"Injection, rituximab, 100 mg"	28
J9315	"Injection, romidepsin, 1 mg"	27
J9320	"Injection, streptozocin, 1 gram"	31
J9328	"Injection, temozolomide, 1 mg"	29
J9330	"Injection, temsirolimus, 1 mg"	29
J9340	"Injection, thiotepa, 15 mg"	26
J9350	"Injection, topotecan, 4 mg"	26
J9351	"Injection, topotecan, 0.1 mg"	28
J9354	"Injection, ado-trastuzumab emtansine, 1 mg"	42
J9355	"Injection, trastuzumab, 10 mg"	29
J9357	"Injection, valrubicin, intravesical, 200 mg"	43
J9360	"Injection, vinblastine sulfate, 1 mg"	36
J9370	"Vincristine sulfate, 1 mg"	25
J9371	"Injection, vincristine sulfate liposome, 1 mg"	45
J9375	"Vincristine sulfate, 2 mg"	25
J9380	"Vincristine sulfate, 5 mg"	25
J9390	"Injection, vinorelbine tartrate, 10 mg"	38
J9395	"Injection, fulvestrant, 25 mg"	29
J9400	"Injection, ziv-aflibercept, 1 mg"	32
J9600	"Injection, porfimer sodium, 75 mg"	33
J9999	"Not otherwise classified, antineoplastic drugs"	46
K0001	Standard wheelchair	19
K0002	Standard hemi (low seat) wheelchair	35
K0003	Lightweight wheelchair	22
K0004	"High strength, lightweight wheelchair"	37
K0005	Ultralightweight wheelchair	27
K0006	Heavy duty wheelchair	21
K0007	Extra heavy duty wheelchair	27
K0008	Custom manual wheelchair/base	29
K0009	Other manual wheelchair/base	28
K0010	Standard - weight frame motorized/power wheelchair	50
K0011	"Standard - weight frame motorized/power wheelchair with programmable control parameters for speed adjustment, tremor dampening, acceleration control and braking"	160
K0012	Lightweight portable motorized/power wheelchair	47
K0013	Custom motorized/power wheelchair base	38
K0014	Other motorized/power wheelchair base	37
K0015	"Detachable, non-adjustable height armrest, each"	47
K0017	"Detachable, adjustable height armrest, base, each"	49
K0018	"Detachable, adjustable height armrest, upper portion, each"	58
K0019	"Arm pad, each"	13
K0020	"Fixed, adjustable height armrest, pair"	38
K0037	"High mount flip-up footrest, each"	33
K0038	"Leg strap, each"	15
K0039	"Leg strap, h style, each"	24
K0040	"Adjustable angle footplate, each"	32
K0041	"Large size footplate, each"	26
K0042	"Standard size footplate, each"	29
K0043	"Footrest, lower extension tube, each"	36
K0044	"Footrest, upper hanger bracket, each"	36
K0045	"Footrest, complete assembly"	27
K0046	"Elevating legrest, lower extension tube, each"	45
K0047	"Elevating legrest, upper hanger bracket, each"	45
K0050	Ratchet assembly	16
K0051	"Cam release assembly, footrest or legrest, each"	47
K0052	"Swingaway, detachable footrests, each"	37
K0053	"Elevating footrests, articulating (telescoping), each"	53
K0056	"Seat height less than  17"" or equal to  or greater than 21"" for a high strength, lightweight, or ultralightweight wheelchair"	124
K0065	"Spoke protectors, each"	22
K0069	"Rear wheel assembly, complete, with solid tire, spokes or molded, each"	70
K0070	"Rear wheel assembly, complete, with pneumatic tire, spokes or molded, each"	74
K0071	"Front caster assembly, complete, with pneumatic tire, each"	58
K0072	"Front caster assembly, complete, with semi-pneumatic tire, each"	63
K0073	"Caster pin lock,each"	20
K0077	"Front caster assembly, complete, with solid tire, each"	54
K0098	Drive belt for power wheelchair	31
K0105	"Iv hanger, each"	15
K0108	"Wheelchair component or accessory, not otherwise specified"	58
K0195	"Elevating leg rests, pair (for use with capped rental wheelchair base)"	70
K0455	"Infusion pump used for uninterrupted parenteral administration of medication, (e.g., epoprostenol or treprostinol)"	114
K0462	"Temporary replacement for patient owned equipment being repaired, any type"	74
K0552	"Supplies for external drug infusion pump, syringe type cartridge, sterile, each"	79
K0601	"Replacement battery for external infusion pump owned by patient, silver oxide, 1.5 volt, each"	93
K0602	"Replacement battery for external infusion pump owned by patient, silver oxide, 3 volt, each"	91
K0603	"Replacement battery for external infusion pump owned by patient, alkaline, 1.5 volt, each"	89
K0604	"Replacement battery for external infusion pump owned by patient, lithium, 3.6 volt, each"	88
K0605	"Replacement battery for external infusion pump owned by patient, lithium, 4.5 volt, each"	88
K0606	"Automatic external defibrillator, with integrated electrocardiogram analysis, garment type"	90
K0607	"Replacement battery for automated external defibrillator, garment type only, each"	81
K0608	"Replacement garment for use with automated external defibrillator, each"	71
K0609	"Replacement electrodes for use with automated external defibrillator, garment type only, each"	93
K0669	"Wheelchair accessory, wheelchair seat or back cushion, does not meet specific code criteria or no written coding verification from dme pdac"	139
K0672	"Addition to lower extremity orthosis, removable soft interface, all components, replacement only, each"	102
K0730	Controlled dose inhalation drug delivery system	47
K0733	"Power wheelchair accessory, 12 to 24 amp hour sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)"	112
K0734	"Skin protection wheelchair seat cushion, adjustable, width less than 22 inches, any depth"	89
K0735	"Skin protection wheelchair seat cushion, adjustable, width 22 inches or greater, any depth"	90
K0736	"Skin protection and positioning wheelchair seat cushion, adjustable, width less than 22 inches, any depth"	105
K0737	"Skin protection and positioning wheelchair seat cushion, adjustable, width 22 inches or greater, any depth"	106
K0738	"Portable gaseous oxygen system, rental; home compressor used to fill portable oxygen cylinders; includes portable containers, regulator, flowmeter, humidifier, cannula or mask, and tubing"	187
K0739	"Repair or nonroutine service for durable medical equipment other than oxygen equipment requiring the skill of a technician, labor component, per 15 minutes"	155
K0740	"Repair or nonroutine service for oxygen equipment requiring the skill of a technician, labor component, per 15 minutes"	118
K0741	"Portable gaseous oxygen system, rental, includes portable container, regulator, flowmeter, humidifier, cannula or mask, and tubing, for cluster headaches"	153
K0742	"Portable oxygen contents, gaseous, 1 month's supply = 1 unit, for cluster headaches, for initial months supply or to replace used contents"	138
K0743	"Suction pump, home model, portable, for use on wounds"	53
K0744	"Absorptive wound dressing for use with suction pump, home model, portable, pad size 16 square inches or less"	108
K0745	"Absorptive wound dressing for use with suction pump, home model, portable, pad size more than 16 square inches but less than or equal to 48 square inches"	153
K0746	"Absorptive wound dressing for use with suction pump, home model, portable, pad size greater than 48 square inches"	113
K0800	"Power operated vehicle, group 1 standard, patient weight capacity up to and including 300 pounds"	96
K0801	"Power operated vehicle, group 1 heavy duty, patient weight capacity 301 to 450 pounds"	85
K0802	"Power operated vehicle, group 1 very heavy duty, patient weight capacity 451 to 600 pounds"	90
K0806	"Power operated vehicle, group 2 standard, patient weight capacity up to and including 300 pounds"	96
K0807	"Power operated vehicle, group 2 heavy duty, patient weight capacity 301 to 450 pounds"	85
K0808	"Power operated vehicle, group 2 very heavy duty, patient weight capacity 451 to 600 pounds"	90
K0812	"Power operated vehicle, not otherwise classified"	48
K0813	"Power wheelchair, group 1 standard, portable, sling/solid seat and back, patient weight capacity up to and including 300 pounds"	127
K0814	"Power wheelchair, group 1 standard, portable, captains chair, patient weight capacity up to and including 300 pounds"	116
K0815	"Power wheelchair, group 1 standard, sling/solid seat and back, patient weight capacity up to and including 300 pounds"	117
K0816	"Power wheelchair, group 1 standard, captains chair, patient weight capacity up to and including 300 pounds"	106
K0820	"Power wheelchair, group 2 standard, portable, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	123
K0821	"Power wheelchair, group 2 standard, portable, captains chair, patient weight capacity up to and including 300 pounds"	116
K0822	"Power wheelchair, group 2 standard, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	113
K0823	"Power wheelchair, group 2 standard, captains chair, patient weight capacity up to and including 300 pounds"	106
K0824	"Power wheelchair, group 2 heavy duty, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	102
K0825	"Power wheelchair, group 2 heavy duty, captains chair, patient weight capacity 301 to 450 pounds"	95
K0826	"Power wheelchair, group 2 very heavy duty, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	107
K0827	"Power wheelchair, group 2 very heavy duty, captains chair, patient weight capacity 451 to 600 pounds"	100
K0828	"Power wheelchair, group 2 extra heavy duty, sling/solid seat/back, patient weight capacity 601 pounds or more"	109
K0829	"Power wheelchair, group 2 extra heavy duty, captains chair, patient weight 601 pounds or more"	93
K0830	"Power wheelchair, group 2 standard, seat elevator, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	128
K0831	"Power wheelchair, group 2 standard, seat elevator, captains chair, patient weight capacity up to and including 300 pounds"	121
K0835	"Power wheelchair, group 2 standard, single power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	134
K0836	"Power wheelchair, group 2 standard, single power option, captains chair, patient weight capacity up to and including 300 pounds"	127
K0837	"Power wheelchair, group 2 heavy duty, single power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	123
K0838	"Power wheelchair, group 2 heavy duty, single power option, captains chair, patient weight capacity 301 to 450 pounds"	116
K0839	"Power wheelchair, group 2 very heavy duty, single power option sling/solid seat/back, patient weight capacity 451 to 600 pounds"	127
K0840	"Power wheelchair, group 2 extra heavy duty, single power option, sling/solid seat/back, patient weight capacity 601 pounds or more"	130
K0841	"Power wheelchair, group 2 standard, multiple power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	136
K0842	"Power wheelchair, group 2 standard, multiple power option, captains chair, patient weight capacity up to and including 300 pounds"	129
K0843	"Power wheelchair, group 2 heavy duty, multiple power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	125
K0848	"Power wheelchair, group 3 standard, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	113
K0849	"Power wheelchair, group 3 standard, captains chair, patient weight capacity up to and including 300 pounds"	106
K0850	"Power wheelchair, group 3 heavy duty, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	102
K0851	"Power wheelchair, group 3 heavy duty, captains chair, patient weight capacity 301 to 450 pounds"	95
K0852	"Power wheelchair, group 3 very heavy duty, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	107
K0853	"Power wheelchair, group 3 very heavy duty, captains chair, patient weight capacity 451 to 600 pounds"	100
K0854	"Power wheelchair, group 3 extra heavy duty, sling/solid seat/back, patient weight capacity 601 pounds or more"	109
K0855	"Power wheelchair, group 3 extra heavy duty, captains chair, patient weight capacity 601 pounds or more"	102
K0856	"Power wheelchair, group 3 standard, single power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	134
K0857	"Power wheelchair, group 3 standard, single power option, captains chair, patient weight capacity up to and including 300 pounds"	127
K0858	"Power wheelchair, group 3 heavy duty, single power option, sling/solid seat/back, patient weight 301 to 450 pounds"	114
K0859	"Power wheelchair, group 3 heavy duty, single power option, captains chair, patient weight capacity 301 to 450 pounds"	116
K0860	"Power wheelchair, group 3 very heavy duty, single power option, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	128
K0861	"Power wheelchair, group 3 standard, multiple power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	136
K0862	"Power wheelchair, group 3 heavy duty, multiple power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	125
K0863	"Power wheelchair, group 3 very heavy duty, multiple power option, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	130
K0864	"Power wheelchair, group 3 extra heavy duty, multiple power option, sling/solid seat/back, patient weight capacity 601 pounds or more"	132
K0868	"Power wheelchair, group 4 standard, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	113
K0869	"Power wheelchair, group 4 standard, captains chair, patient weight capacity up to and including 300 pounds"	106
K0870	"Power wheelchair, group 4 heavy duty, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	102
K0871	"Power wheelchair, group 4 very heavy duty, sling/solid seat/back, patient weight capacity 451 to 600 pounds"	107
K0877	"Power wheelchair, group 4 standard, single power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	134
K0878	"Power wheelchair, group 4 standard, single power option, captains chair, patient weight capacity up to and including 300 pounds"	127
K0879	"Power wheelchair, group 4 heavy duty, single power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	123
K0880	"Power wheelchair, group 4 very heavy duty, single power option, sling/solid seat/back, patient weight 451 to 600 pounds"	119
K0884	"Power wheelchair, group 4 standard, multiple power option, sling/solid seat/back, patient weight capacity up to and including 300 pounds"	136
K0885	"Power wheelchair, group 4 standard, multiple power option, captains chair, patient weight capacity up to and including 300 pounds"	129
K0886	"Power wheelchair, group 4 heavy duty, multiple power option, sling/solid seat/back, patient weight capacity 301 to 450 pounds"	125
K0890	"Power wheelchair, group 5 pediatric, single power option, sling/solid seat/back, patient weight capacity up to and including 125 pounds"	135
K0891	"Power wheelchair, group 5 pediatric, multiple power option, sling/solid seat/back, patient weight capacity up to and including 125 pounds"	137
K0898	"Power wheelchair, not otherwise classified"	42
K0899	"Power mobility device, not coded by dme pdac or does not meet criteria"	70
K0900	"Customized durable medical equipment, other than wheelchair"	59
L0112	"Cranial cervical orthosis, congenital torticollis type, with or without soft interface material, adjustable range of motion joint, custom fabricated"	148
L0113	"Cranial cervical orthosis, torticollis type, with or without joint, with or without soft interface material, prefabricated, includes fitting and adjustment"	155
L0120	"Cervical, flexible, non-adjustable, prefabricated, off-the-shelf (foam collar)"	78
L0130	"Cervical, flexible, thermoplastic collar, molded to patient"	59
L0140	"Cervical, semi-rigid, adjustable (plastic collar)"	49
L0150	"Cervical, semi-rigid, adjustable molded chin cup (plastic collar with mandibular/occipital piece)"	97
L0160	"Cervical, semi-rigid, wire frame occipital/mandibular support, prefabricated, off-the-shelf"	91
L0170	"Cervical, collar, molded to patient model"	41
L0172	"Cervical, collar, semi-rigid thermoplastic foam, two-piece, prefabricated, off-the-shelf"	88
L0174	"Cervical, collar, semi-rigid, thermoplastic foam, two piece with thoracic extension, prefabricated, off-the-shelf"	113
L0180	"Cervical, multiple post collar, occipital/mandibular supports, adjustable"	73
L0190	"Cervical, multiple post collar, occipital/mandibular supports, adjustable cervical bars (somi, guilford, taylor types)"	118
L0200	"Cervical, multiple post collar, occipital/mandibular supports, adjustable cervical bars, and thoracic extension"	111
L0220	"Thoracic, rib belt, custom fabricated"	37
L0430	"Spinal orthosis, anterior-posterior-lateral control, with interface material, custom fitted (dewall posture protector only)"	123
L0450	"Tlso, flexible, provides trunk support, upper thoracic region, produces intracavitary pressure to reduce load on the intervertebral disks with rigid stays or panel(s), includes shoulder straps and closures, prefabricated, off-the-shelf"	235
L0452	"Tlso, flexible, provides trunk support, upper thoracic region, produces intracavitary pressure to reduce load on the intervertebral disks with rigid stays or panel(s), includes shoulder straps and closures, custom fabricated"	224
L0454	"Tlso flexible, provides trunk support, extends from sacrococcygeal junction to above t-9 vertebra, restricts gross trunk motion in the sagittal plane, produces intracavitary pressure to reduce load on the intervertebral disks with rigid stays or panel(s), includes shoulder straps and closures, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise"	443
